클러스터별 평균 상관계수:
Cluster 2: 0.8686
Cluster 6: 0.8773
Cluster 0: 0.8784
Cluster 4: 0.8925
Cluster 3: 0.9012
Cluster 7: 0.9017

enbid_pci,cluster,accuracy,category
37809_403,0,-0.5095401389013945,개선 필요
46375_130,0,0.26416244829360963,개선 필요
36431_225,0,0.29990924294182947,개선 필요
36431_498,0,0.5380995631451737,개선 필요
37115_291,0,0.5831477684384656,개선 필요
34792_119,0,0.6410127590227495,허용 가능
46384_481,0,0.6761290903248577,허용 가능
35831_54,0,0.7270239762244639,좋음
34799_459,0,0.7346064564436172,좋음
33434_194,0,0.7491451864129884,좋음
37093_161,0,0.7545941517006074,좋음
34780_372,0,0.7727894026349327,좋음
37067_207,0,0.8071090961032279,매우 좋음
34481_157,0,0.8207243675074019,매우 좋음
34556_96,0,0.8225292865191451,매우 좋음
37065_296,0,0.8362486393046639,매우 좋음
37080_148,0,0.8371634313319799,매우 좋음
37083_208,0,0.8379800465367715,매우 좋음
35833_129,0,0.8407567362181336,매우 좋음
34804_252,0,0.8441149414811377,매우 좋음
34780_271,0,0.8459102202116963,매우 좋음
33196_120,0,0.8499036308045622,매우 좋음
34790_363,0,0.8563405943277919,매우 좋음
34766_224,0,0.8590135834418292,매우 좋음
46384_65,0,0.8634638805024424,매우 좋음
37052_431,0,0.8761133463518078,매우 좋음
35831_173,0,0.876318121879536,매우 좋음
34804_124,0,0.8825822625904948,매우 좋음
37116_43,0,0.8854535292592336,매우 좋음
36480_461,0,0.8869903375073365,매우 좋음
35831_160,0,0.8915367473216538,매우 좋음
37103_329,0,0.8926660111670924,매우 좋음
34485_260,0,0.8939756024506867,매우 좋음
34805_338,0,0.9002462678463732,매우 좋음
34787_186,0,0.9019998299139969,매우 좋음
33909_157,0,0.9054077183080926,매우 좋음
34554_200,0,0.9060154298610907,매우 좋음
37079_278,0,0.9065236715672791,매우 좋음
35833_172,0,0.9109651805939285,매우 좋음
37104_255,0,0.9116205391248248,매우 좋음
37859_332,0,0.9130755982729171,매우 좋음
37093_132,0,0.91397440836221,매우 좋음
34490_46,0,0.9142384337182003,매우 좋음
34481_12,0,0.9144789350903264,매우 좋음
37079_236,0,0.9158670778470311,매우 좋음
37859_22,0,0.9164806790952689,매우 좋음
37099_146,0,0.9177599669381911,매우 좋음
37066_110,0,0.9209266195108312,매우 좋음
37111_158,0,0.9221394455505562,매우 좋음
37084_276,0,0.9231024056802202,매우 좋음
37102_159,0,0.9254341405908482,매우 좋음
34560_359,0,0.9258949393478195,매우 좋음
35833_191,0,0.9264379197846089,매우 좋음
34481_150,0,0.926712506143526,매우 좋음
34683_250,0,0.927465000368599,매우 좋음
35722_143,0,0.928992203331011,매우 좋음
37859_15,0,0.9303872911623272,매우 좋음
37096_259,0,0.9305017161545568,매우 좋음
37093_189,0,0.9325487689406049,매우 좋음
37112_69,0,0.9327728685430814,매우 좋음
34484_61,0,0.9328635960886164,매우 좋음
34484_263,0,0.9339000558919873,매우 좋음
34341_256,0,0.9339924136102811,매우 좋음
35725_321,0,0.9368365470422391,매우 좋음
35605_163,0,0.9375227093422156,매우 좋음
37114_39,0,0.9377603734829982,매우 좋음
37067_232,0,0.9382572353544525,매우 좋음
37113_288,0,0.9387725474442414,매우 좋음
34485_102,0,0.9403021717595048,매우 좋음
37110_62,0,0.941000215635691,매우 좋음
34340_243,0,0.9415813774532809,매우 좋음
34485_74,0,0.9428846913309246,매우 좋음
37113_80,0,0.9432076207197184,매우 좋음
33196_111,0,0.9434715125931261,매우 좋음
34340_220,0,0.9441045494209958,매우 좋음
34344_275,0,0.9445108295096236,매우 좋음
37112_209,0,0.9459307437129529,매우 좋음
34486_298,0,0.947206775522641,매우 좋음
33195_131,0,0.94935701208914,매우 좋음
34562_190,0,0.9495913903386153,매우 좋음
37116_82,0,0.9501280459061942,매우 좋음
46389_173,0,0.9501617816139609,매우 좋음
34562_340,0,0.9505495891234823,매우 좋음
34554_414,0,0.9516861100424654,매우 좋음
34782_253,0,0.9524740766217661,매우 좋음
34775_437,0,0.9534469226942888,매우 좋음
34776_445,0,0.9551038347412413,매우 좋음
36206_316,0,0.9561328077305664,매우 좋음
37113_66,0,0.9572642612160803,매우 좋음
37112_170,0,0.9598504549032825,매우 좋음
34556_159,0,0.9611875466972422,매우 좋음
34559_254,0,0.9615154809234402,매우 좋음
35703_231,0,0.9626596996334997,매우 좋음
35725_298,0,0.9632799292286731,매우 좋음
35605_304,0,0.9636307210945074,매우 좋음
37859_52,0,0.9667337161689601,매우 좋음
36127_184,0,0.9671884598688691,매우 좋음
33434_464,0,0.967583685474079,매우 좋음
34339_100,0,0.9688597593753159,매우 좋음
35300_325,0,0.9703125093850153,매우 좋음
34472_83,0,0.9740692489010105,매우 좋음
33907_329,0,0.974604163131114,매우 좋음
34713_279,0,0.9748423590593234,매우 좋음
37100_444,0,0.9777114602422161,매우 좋음
34759_112,0,0.9779558878510515,매우 좋음
34342_244,0,0.9782113478756076,매우 좋음
34555_125,0,0.9788611619187613,매우 좋음
37100_295,0,0.9821581114538182,매우 좋음
34804_3,0,,개선 필요
35447_144,2,0.299902464037138,개선 필요
35726_319,2,0.512522573855948,개선 필요
35447_48,2,0.5426765994340486,개선 필요
37067_217,2,0.5689949727501584,개선 필요
34484_6,2,0.5700731410236453,개선 필요
36431_236,2,0.6176513177643231,허용 가능
37113_149,2,0.6250575239623407,허용 가능
35960_63,2,0.6283051520756042,허용 가능
37087_17,2,0.6465089566224442,허용 가능
37067_240,2,0.6471112136484687,허용 가능
42922_431,2,0.6498880022747553,허용 가능
37108_92,2,0.6608001540819182,허용 가능
35961_60,2,0.6951837453425627,허용 가능
34683_326,2,0.7014337642272258,좋음
46373_440,2,0.7179952893536318,좋음
46377_478,2,0.730882547334393,좋음
37061_399,2,0.7457913365373547,좋음
35722_260,2,0.747925142066912,좋음
46378_452,2,0.7577264902955612,좋음
37929_310,2,0.7610831175664687,좋음
37064_229,2,0.7663582289534872,좋음
36480_111,2,0.7693141617674286,좋음
37065_260,2,0.7746942559240293,좋음
34484_109,2,0.7831832037174884,좋음
36470_195,2,0.7845481537478814,좋음
37812_108,2,0.7915733713594802,좋음
37859_335,2,0.7966576853820968,좋음
46384_482,2,0.7980375607295839,좋음
34766_197,2,0.7998216774083534,좋음
34801_167,2,0.8029867004406868,매우 좋음
34799_215,2,0.8090089920628394,매우 좋음
37096_240,2,0.8135470029391416,매우 좋음
34562_27,2,0.814268414406106,매우 좋음
46375_431,2,0.8222057452936545,매우 좋음
34762_208,2,0.8272217510626999,매우 좋음
37861_400,2,0.827592145998381,매우 좋음
36482_124,2,0.829198562766035,매우 좋음
36474_278,2,0.8320605632875568,매우 좋음
37087_290,2,0.8384159070277053,매우 좋음
46458_207,2,0.8404804966770567,매우 좋음
33434_30,2,0.8416010733652765,매우 좋음
37677_235,2,0.8426622066750985,매우 좋음
36493_97,2,0.8428729916602414,매우 좋음
37079_133,2,0.8467555381595584,매우 좋음
35577_390,2,0.8507663818437197,매우 좋음
34133_217,2,0.852894995214247,매우 좋음
46384_60,2,0.8529909720235272,매우 좋음
37096_290,2,0.8547056758581255,매우 좋음
34763_123,2,0.8553978751979601,매우 좋음
35446_120,2,0.8554496597155201,매우 좋음
37108_226,2,0.8562084117467685,매우 좋음
33909_150,2,0.8564215718520021,매우 좋음
35943_63,2,0.8566262888352203,매우 좋음
37064_382,2,0.8574035966641533,매우 좋음
35943_41,2,0.8584176997425366,매우 좋음
34800_249,2,0.8597112109055374,매우 좋음
34484_58,2,0.8602777013936864,매우 좋음
36481_86,2,0.8605742827689062,매우 좋음
37107_280,2,0.8606569625986079,매우 좋음
37112_210,2,0.8612475947139038,매우 좋음
46376_10,2,0.8631177994214114,매우 좋음
36206_238,2,0.864881403308331,매우 좋음
37112_79,2,0.867393400554042,매우 좋음
37100_107,2,0.8695378275231691,매우 좋음
37065_241,2,0.8699089657142692,매우 좋음
36474_13,2,0.8699750893346175,매우 좋음
37064_180,2,0.8716028787739956,매우 좋음
37107_406,2,0.8723461285968289,매우 좋음
34683_65,2,0.8733932626699916,매우 좋음
37092_286,2,0.8737144784090161,매우 좋음
35943_356,2,0.8745153564119319,매우 좋음
35707_186,2,0.8765224803599461,매우 좋음
37108_301,2,0.8768926112214296,매우 좋음
37066_305,2,0.8790897997504098,매우 좋음
35300_250,2,0.8795443867290385,매우 좋음
46384_113,2,0.879954514944842,매우 좋음
37052_202,2,0.8822681936305822,매우 좋음
34760_87,2,0.8824171716126957,매우 좋음
37066_287,2,0.8842811100206857,매우 좋음
40438_142,2,0.8849391771181971,매우 좋음
37104_225,2,0.887868016158078,매우 좋음
37115_40,2,0.8922466887262239,매우 좋음
60193_156,2,0.8938571275620644,매우 좋음
37097_183,2,0.8943400771758255,매우 좋음
42922_28,2,0.8950114070937407,매우 좋음
